autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Sokoli Deni,,,,,,BMD,1,2014,Ispitivanje uticaja prirodne selekcije i genetičkog drifta na pojavu rezistencije na antibiotike kod bakterija,pdf/2014/BMD1404.pdf
Ilijin Natalija,,,,,,BMD,1,2014,HPLC-MS detekcija jedinjenja zaslužnih za antibaktericidno dejstvo crne ribizle (Ribes nigrum) i joste (Ribes x nidigrolaria),pdf/2014/BMD1405.pdf
Paneva Sofija,,,,,,BMD,1,2014,Ispitivanje efekata proteolitičkih enzima voća na simuliranu digestiju proteina,pdf/2014/BMD1406.pdf
Toskić Aida,,,,,,BMD,1,2014,Uticaj antocijanina iz evropske brusnice (Vaccinium vitis L.) i visokožbunaste borovnice (Vaccinium corymbosum L.) na formiranje biofilma Escherichia coli,pdf/2014/BMD1407.pdf
Savić Milica,,,,,,BMD,1,2014,Uticaj NPK đubriva i AminoTotal fertilizera na sastav etarskog ulja divlje nane (Mentha spicata),pdf/2014/BMD1408.pdf
Seminar dizajna 2014,,,,,,DIZ,6,2014,Seminar dizajna 2014,pdf/2014/DIZ1401.pdf
Stekić Katarina,,,,,,DRH,13,2014,Uticaj sličnosti muzičkog ukusa na ocenu kompetentnosti članova radne grupe,pdf/2014/DRH1401.pdf
Žegarac Ana,,,,,,FIZ,15,2014,Modelovanje koevolucije dve vrste u mutualizmu – simpatrička specijacija,pdf/2014/FIZ1401.pdf
Drobnjak Dušan,,,,,,FIZ,15,2014,Modelovanje koevolucije dve vrste u mutualizmu – simpatrička specijacija,pdf/2014/FIZ1401.pdf
Silađi Danijel,,,,,,FIZ,12,2014,Simuliranje pešačkog saobraćaja u situacijama evakuacije,pdf/2014/FIZ1402.pdf
Stanisavljević Ognjen,,,,,,FIZ,12,2014,Simuliranje pešačkog saobraćaja u situacijama evakuacije,pdf/2014/FIZ1402.pdf
Đorđević Irena,,,,,,FIZ,10,2014,Primena različitih prirodnih pigmenata kao fotoosetljive komponente u solarnim ćelijama,pdf/2014/FIZ1403.pdf
Ilić Stefan,,,,,,FIZ,10,2014,Primena različitih prirodnih pigmenata kao fotoosetljive komponente u solarnim ćelijama,pdf/2014/FIZ1403.pdf
Bogojević Sara,,,,,,FIZ,8,2014,Ispitivanje osobina smeše granularnih materijala i ulja,pdf/2014/FIZ1404.pdf
Šešelja Petra,,,,,,FIZ,8,2014,Ispitivanje osobina smeše granularnih materijala i ulja,pdf/2014/FIZ1404.pdf
Aleksić Grigorije,,,,,,FIZ,7,2014,Proces kompaktifikacije dvodimenzionog granularnog sistema pod uticajem vertikalnih vibracionih pobuda,pdf/2014/FIZ1405.pdf
Bojović Petar,,,,,,FIZ,7,2014,Ispitivanje fenomena mrtve vode,pdf/2014/FIZ1406.pdf
Šušteršič Janko,,,,,,FIZ,11,2014,Konstrukcija digitalnog holografskog mikroskopa,pdf/2014/FIZ1407.pdf
Milutinović Marija,,,,,,FIZ,11,2014,Konstrukcija digitalnog holografskog mikroskopa,pdf/2014/FIZ1407.pdf
Blagojević Luka,,,,,,FIZ,9,2014,Numerička simulacija efekta elektromagnetno indukovane transparentnosti,pdf/2014/FIZ1408.pdf
Velja Stefan,,,,,,FIZ,9,2014,Numerička simulacija efekta elektromagnetno indukovane transparentnosti,pdf/2014/FIZ1408.pdf
Avramović Andrija,,,,,,GLG,19,2014,"Strukturno-tektonska analiza krednog kompleksa u zapadnim delovima Gledićkih planina (Vardarska zona, Srbija)",pdf/2014/GLG1401.pdf
Cvetković Nemanja,,,,,,GLG,19,2014,"Strukturno-tektonska analiza krednog kompleksa u zapadnim delovima Gledićkih planina (Vardarska zona, Srbija)",pdf/2014/GLG1401.pdf
Gorjanc Irena,,,,,,GLG,5,2014,Mogućnost otklanjanja olova i kadmijuma iz vode prirodnim zeolitom,pdf/2014/GLG1402.pdf
